
VERIFICAT: nr portii oferite: 0 nr portii consumate: 0

EntitateRegistru{id=2, nrPortii=4, localDateTime=2023-01-30T13:10:58.327957400, tip=OFERIT}
EntitateRegistru{id=10, nrPortii=1, localDateTime=2023-01-30T13:10:58.361956300, tip=CONSUMAT}
EntitateRegistru{id=4, nrPortii=1, localDateTime=2023-01-30T13:10:58.361956300, tip=CONSUMAT}
EntitateRegistru{id=0, nrPortii=2, localDateTime=2023-01-30T13:10:58.361956300, tip=OFERIT}
EntitateRegistru{id=8, nrPortii=1, localDateTime=2023-01-30T13:10:58.361956300, tip=CONSUMAT}
EntitateRegistru{id=9, nrPortii=1, localDateTime=2023-01-30T13:10:58.361956300, tip=CONSUMAT}
EntitateRegistru{id=0, nrPortii=3, localDateTime=2023-01-30T13:10:58.361956300, tip=OFERIT}
EntitateRegistru{id=3, nrPortii=1, localDateTime=2023-01-30T13:10:58.361956300, tip=CONSUMAT}
EntitateRegistru{id=12, nrPortii=1, localDateTime=2023-01-30T13:10:58.361956300, tip=CONSUMAT}
VERIFICAT: nr portii oferite: 25 nr portii consumate: 24

EntitateRegistru{id=2, nrPortii=4, localDateTime=2023-01-30T13:10:58.327957400, tip=OFERIT}
EntitateRegistru{id=3, nrPortii=1, localDateTime=2023-01-30T13:10:58.331957700, tip=CONSUMAT}
EntitateRegistru{id=4, nrPortii=1, localDateTime=2023-01-30T13:10:58.331957700, tip=CONSUMAT}
EntitateRegistru{id=5, nrPortii=1, localDateTime=2023-01-30T13:10:58.331957700, tip=CONSUMAT}
EntitateRegistru{id=6, nrPortii=1, localDateTime=2023-01-30T13:10:58.331957700, tip=CONSUMAT}
EntitateRegistru{id=0, nrPortii=4, localDateTime=2023-01-30T13:10:58.351957800, tip=OFERIT}
EntitateRegistru{id=3, nrPortii=1, localDateTime=2023-01-30T13:10:58.352958200, tip=CONSUMAT}
EntitateRegistru{id=6, nrPortii=1, localDateTime=2023-01-30T13:10:58.352958200, tip=CONSUMAT}
EntitateRegistru{id=4, nrPortii=1, localDateTime=2023-01-30T13:10:58.352958200, tip=CONSUMAT}
EntitateRegistru{id=5, nrPortii=1, localDateTime=2023-01-30T13:10:58.352958200, tip=CONSUMAT}
EntitateRegistru{id=2, nrPortii=3, localDateTime=2023-01-30T13:10:58.352958200, tip=OFERIT}
EntitateRegistru{id=7, nrPortii=1, localDateTime=2023-01-30T13:10:58.352958200, tip=CONSUMAT}
EntitateRegistru{id=8, nrPortii=1, localDateTime=2023-01-30T13:10:58.352958200, tip=CONSUMAT}
EntitateRegistru{id=9, nrPortii=1, localDateTime=2023-01-30T13:10:58.352958200, tip=CONSUMAT}
EntitateRegistru{id=1, nrPortii=4, localDateTime=2023-01-30T13:10:58.352958200, tip=OFERIT}
EntitateRegistru{id=12, nrPortii=1, localDateTime=2023-01-30T13:10:58.352958200, tip=CONSUMAT}
EntitateRegistru{id=11, nrPortii=1, localDateTime=2023-01-30T13:10:58.352958200, tip=CONSUMAT}
EntitateRegistru{id=10, nrPortii=1, localDateTime=2023-01-30T13:10:58.352958200, tip=CONSUMAT}
EntitateRegistru{id=7, nrPortii=1, localDateTime=2023-01-30T13:10:58.361956300, tip=CONSUMAT}
EntitateRegistru{id=2, nrPortii=3, localDateTime=2023-01-30T13:10:58.361956300, tip=OFERIT}
EntitateRegistru{id=11, nrPortii=1, localDateTime=2023-01-30T13:10:58.361956300, tip=CONSUMAT}
EntitateRegistru{id=6, nrPortii=1, localDateTime=2023-01-30T13:10:58.361956300, tip=CONSUMAT}
EntitateRegistru{id=5, nrPortii=1, localDateTime=2023-01-30T13:10:58.361956300, tip=CONSUMAT}
EntitateRegistru{id=1, nrPortii=2, localDateTime=2023-01-30T13:10:58.361956300, tip=OFERIT}
EntitateRegistru{id=10, nrPortii=1, localDateTime=2023-01-30T13:10:58.361956300, tip=CONSUMAT}
EntitateRegistru{id=4, nrPortii=1, localDateTime=2023-01-30T13:10:58.361956300, tip=CONSUMAT}
EntitateRegistru{id=0, nrPortii=2, localDateTime=2023-01-30T13:10:58.361956300, tip=OFERIT}
EntitateRegistru{id=8, nrPortii=1, localDateTime=2023-01-30T13:10:58.361956300, tip=CONSUMAT}
EntitateRegistru{id=9, nrPortii=1, localDateTime=2023-01-30T13:10:58.361956300, tip=CONSUMAT}
EntitateRegistru{id=0, nrPortii=3, localDateTime=2023-01-30T13:10:58.361956300, tip=OFERIT}
EntitateRegistru{id=3, nrPortii=1, localDateTime=2023-01-30T13:10:58.361956300, tip=CONSUMAT}
EntitateRegistru{id=12, nrPortii=1, localDateTime=2023-01-30T13:10:58.361956300, tip=CONSUMAT}
EntitateRegistru{id=8, nrPortii=1, localDateTime=2023-01-30T13:10:58.370960100, tip=CONSUMAT}
EntitateRegistru{id=2, nrPortii=3, localDateTime=2023-01-30T13:10:58.370960100, tip=OFERIT}
EntitateRegistru{id=10, nrPortii=1, localDateTime=2023-01-30T13:10:58.370960100, tip=CONSUMAT}
EntitateRegistru{id=5, nrPortii=1, localDateTime=2023-01-30T13:10:58.370960100, tip=CONSUMAT}
EntitateRegistru{id=9, nrPortii=1, localDateTime=2023-01-30T13:10:58.370960100, tip=CONSUMAT}
EntitateRegistru{id=1, nrPortii=4, localDateTime=2023-01-30T13:10:58.370960100, tip=OFERIT}
EntitateRegistru{id=7, nrPortii=1, localDateTime=2023-01-30T13:10:58.370960100, tip=CONSUMAT}
EntitateRegistru{id=3, nrPortii=1, localDateTime=2023-01-30T13:10:58.370960100, tip=CONSUMAT}
EntitateRegistru{id=6, nrPortii=1, localDateTime=2023-01-30T13:10:58.370960100, tip=CONSUMAT}
EntitateRegistru{id=11, nrPortii=1, localDateTime=2023-01-30T13:10:58.370960100, tip=CONSUMAT}
EntitateRegistru{id=2, nrPortii=2, localDateTime=2023-01-30T13:10:58.370960100, tip=OFERIT}
EntitateRegistru{id=12, nrPortii=1, localDateTime=2023-01-30T13:10:58.370960100, tip=CONSUMAT}
EntitateRegistru{id=4, nrPortii=1, localDateTime=2023-01-30T13:10:58.370960100, tip=CONSUMAT}
EntitateRegistru{id=1, nrPortii=3, localDateTime=2023-01-30T13:10:58.370960100, tip=OFERIT}
EntitateRegistru{id=4, nrPortii=1, localDateTime=2023-01-30T13:10:58.379959200, tip=CONSUMAT}
EntitateRegistru{id=9, nrPortii=1, localDateTime=2023-01-30T13:10:58.379959200, tip=CONSUMAT}
EntitateRegistru{id=11, nrPortii=1, localDateTime=2023-01-30T13:10:58.379959200, tip=CONSUMAT}
EntitateRegistru{id=1, nrPortii=1, localDateTime=2023-01-30T13:10:58.379959200, tip=OFERIT}
EntitateRegistru{id=5, nrPortii=1, localDateTime=2023-01-30T13:10:58.379959200, tip=CONSUMAT}
EntitateRegistru{id=2, nrPortii=2, localDateTime=2023-01-30T13:10:58.379959200, tip=OFERIT}
EntitateRegistru{id=7, nrPortii=1, localDateTime=2023-01-30T13:10:58.379959200, tip=CONSUMAT}
EntitateRegistru{id=8, nrPortii=1, localDateTime=2023-01-30T13:10:58.379959200, tip=CONSUMAT}
EntitateRegistru{id=0, nrPortii=3, localDateTime=2023-01-30T13:10:58.379959200, tip=OFERIT}
EntitateRegistru{id=10, nrPortii=1, localDateTime=2023-01-30T13:10:58.379959200, tip=CONSUMAT}
EntitateRegistru{id=6, nrPortii=1, localDateTime=2023-01-30T13:10:58.379959200, tip=CONSUMAT}
EntitateRegistru{id=12, nrPortii=1, localDateTime=2023-01-30T13:10:58.379959200, tip=CONSUMAT}
EntitateRegistru{id=1, nrPortii=3, localDateTime=2023-01-30T13:10:58.379959200, tip=OFERIT}
EntitateRegistru{id=3, nrPortii=1, localDateTime=2023-01-30T13:10:58.379959200, tip=CONSUMAT}
VERIFICAT: nr portii oferite: 46 nr portii consumate: 44

EntitateRegistru{id=2, nrPortii=4, localDateTime=2023-01-30T13:10:58.327957400, tip=OFERIT}
EntitateRegistru{id=3, nrPortii=1, localDateTime=2023-01-30T13:10:58.331957700, tip=CONSUMAT}
EntitateRegistru{id=4, nrPortii=1, localDateTime=2023-01-30T13:10:58.331957700, tip=CONSUMAT}
EntitateRegistru{id=5, nrPortii=1, localDateTime=2023-01-30T13:10:58.331957700, tip=CONSUMAT}
EntitateRegistru{id=6, nrPortii=1, localDateTime=2023-01-30T13:10:58.331957700, tip=CONSUMAT}
EntitateRegistru{id=0, nrPortii=4, localDateTime=2023-01-30T13:10:58.351957800, tip=OFERIT}
EntitateRegistru{id=3, nrPortii=1, localDateTime=2023-01-30T13:10:58.352958200, tip=CONSUMAT}
EntitateRegistru{id=6, nrPortii=1, localDateTime=2023-01-30T13:10:58.352958200, tip=CONSUMAT}
EntitateRegistru{id=4, nrPortii=1, localDateTime=2023-01-30T13:10:58.352958200, tip=CONSUMAT}
EntitateRegistru{id=5, nrPortii=1, localDateTime=2023-01-30T13:10:58.352958200, tip=CONSUMAT}
EntitateRegistru{id=2, nrPortii=3, localDateTime=2023-01-30T13:10:58.352958200, tip=OFERIT}
EntitateRegistru{id=7, nrPortii=1, localDateTime=2023-01-30T13:10:58.352958200, tip=CONSUMAT}
EntitateRegistru{id=8, nrPortii=1, localDateTime=2023-01-30T13:10:58.352958200, tip=CONSUMAT}
EntitateRegistru{id=9, nrPortii=1, localDateTime=2023-01-30T13:10:58.352958200, tip=CONSUMAT}
EntitateRegistru{id=1, nrPortii=4, localDateTime=2023-01-30T13:10:58.352958200, tip=OFERIT}
EntitateRegistru{id=12, nrPortii=1, localDateTime=2023-01-30T13:10:58.352958200, tip=CONSUMAT}
EntitateRegistru{id=11, nrPortii=1, localDateTime=2023-01-30T13:10:58.352958200, tip=CONSUMAT}
EntitateRegistru{id=10, nrPortii=1, localDateTime=2023-01-30T13:10:58.352958200, tip=CONSUMAT}
EntitateRegistru{id=7, nrPortii=1, localDateTime=2023-01-30T13:10:58.361956300, tip=CONSUMAT}
EntitateRegistru{id=2, nrPortii=3, localDateTime=2023-01-30T13:10:58.361956300, tip=OFERIT}
EntitateRegistru{id=11, nrPortii=1, localDateTime=2023-01-30T13:10:58.361956300, tip=CONSUMAT}
EntitateRegistru{id=6, nrPortii=1, localDateTime=2023-01-30T13:10:58.361956300, tip=CONSUMAT}
EntitateRegistru{id=5, nrPortii=1, localDateTime=2023-01-30T13:10:58.361956300, tip=CONSUMAT}
EntitateRegistru{id=1, nrPortii=2, localDateTime=2023-01-30T13:10:58.361956300, tip=OFERIT}
EntitateRegistru{id=10, nrPortii=1, localDateTime=2023-01-30T13:10:58.361956300, tip=CONSUMAT}
EntitateRegistru{id=4, nrPortii=1, localDateTime=2023-01-30T13:10:58.361956300, tip=CONSUMAT}
EntitateRegistru{id=0, nrPortii=2, localDateTime=2023-01-30T13:10:58.361956300, tip=OFERIT}
EntitateRegistru{id=8, nrPortii=1, localDateTime=2023-01-30T13:10:58.361956300, tip=CONSUMAT}
EntitateRegistru{id=9, nrPortii=1, localDateTime=2023-01-30T13:10:58.361956300, tip=CONSUMAT}
EntitateRegistru{id=0, nrPortii=3, localDateTime=2023-01-30T13:10:58.361956300, tip=OFERIT}
EntitateRegistru{id=3, nrPortii=1, localDateTime=2023-01-30T13:10:58.361956300, tip=CONSUMAT}
EntitateRegistru{id=12, nrPortii=1, localDateTime=2023-01-30T13:10:58.361956300, tip=CONSUMAT}
EntitateRegistru{id=8, nrPortii=1, localDateTime=2023-01-30T13:10:58.370960100, tip=CONSUMAT}
EntitateRegistru{id=2, nrPortii=3, localDateTime=2023-01-30T13:10:58.370960100, tip=OFERIT}
EntitateRegistru{id=10, nrPortii=1, localDateTime=2023-01-30T13:10:58.370960100, tip=CONSUMAT}
EntitateRegistru{id=5, nrPortii=1, localDateTime=2023-01-30T13:10:58.370960100, tip=CONSUMAT}
EntitateRegistru{id=9, nrPortii=1, localDateTime=2023-01-30T13:10:58.370960100, tip=CONSUMAT}
EntitateRegistru{id=1, nrPortii=4, localDateTime=2023-01-30T13:10:58.370960100, tip=OFERIT}
EntitateRegistru{id=7, nrPortii=1, localDateTime=2023-01-30T13:10:58.370960100, tip=CONSUMAT}
EntitateRegistru{id=3, nrPortii=1, localDateTime=2023-01-30T13:10:58.370960100, tip=CONSUMAT}
EntitateRegistru{id=6, nrPortii=1, localDateTime=2023-01-30T13:10:58.370960100, tip=CONSUMAT}
EntitateRegistru{id=11, nrPortii=1, localDateTime=2023-01-30T13:10:58.370960100, tip=CONSUMAT}
EntitateRegistru{id=2, nrPortii=2, localDateTime=2023-01-30T13:10:58.370960100, tip=OFERIT}
EntitateRegistru{id=12, nrPortii=1, localDateTime=2023-01-30T13:10:58.370960100, tip=CONSUMAT}
EntitateRegistru{id=4, nrPortii=1, localDateTime=2023-01-30T13:10:58.370960100, tip=CONSUMAT}
EntitateRegistru{id=1, nrPortii=3, localDateTime=2023-01-30T13:10:58.370960100, tip=OFERIT}
EntitateRegistru{id=4, nrPortii=1, localDateTime=2023-01-30T13:10:58.379959200, tip=CONSUMAT}
EntitateRegistru{id=9, nrPortii=1, localDateTime=2023-01-30T13:10:58.379959200, tip=CONSUMAT}
EntitateRegistru{id=11, nrPortii=1, localDateTime=2023-01-30T13:10:58.379959200, tip=CONSUMAT}
EntitateRegistru{id=1, nrPortii=1, localDateTime=2023-01-30T13:10:58.379959200, tip=OFERIT}
EntitateRegistru{id=5, nrPortii=1, localDateTime=2023-01-30T13:10:58.379959200, tip=CONSUMAT}
EntitateRegistru{id=2, nrPortii=2, localDateTime=2023-01-30T13:10:58.379959200, tip=OFERIT}
EntitateRegistru{id=7, nrPortii=1, localDateTime=2023-01-30T13:10:58.379959200, tip=CONSUMAT}
EntitateRegistru{id=8, nrPortii=1, localDateTime=2023-01-30T13:10:58.379959200, tip=CONSUMAT}
EntitateRegistru{id=0, nrPortii=3, localDateTime=2023-01-30T13:10:58.379959200, tip=OFERIT}
EntitateRegistru{id=10, nrPortii=1, localDateTime=2023-01-30T13:10:58.379959200, tip=CONSUMAT}
EntitateRegistru{id=6, nrPortii=1, localDateTime=2023-01-30T13:10:58.379959200, tip=CONSUMAT}
EntitateRegistru{id=12, nrPortii=1, localDateTime=2023-01-30T13:10:58.379959200, tip=CONSUMAT}
EntitateRegistru{id=1, nrPortii=3, localDateTime=2023-01-30T13:10:58.379959200, tip=OFERIT}
EntitateRegistru{id=3, nrPortii=1, localDateTime=2023-01-30T13:10:58.379959200, tip=CONSUMAT}
EntitateRegistru{id=3, nrPortii=1, localDateTime=2023-01-30T13:10:58.387969900, tip=CONSUMAT}
EntitateRegistru{id=5, nrPortii=1, localDateTime=2023-01-30T13:10:58.387969900, tip=CONSUMAT}
EntitateRegistru{id=0, nrPortii=1, localDateTime=2023-01-30T13:10:58.387969900, tip=OFERIT}
EntitateRegistru{id=8, nrPortii=1, localDateTime=2023-01-30T13:10:58.387969900, tip=CONSUMAT}
EntitateRegistru{id=1, nrPortii=2, localDateTime=2023-01-30T13:10:58.387969900, tip=OFERIT}
EntitateRegistru{id=11, nrPortii=1, localDateTime=2023-01-30T13:10:58.387969900, tip=CONSUMAT}
EntitateRegistru{id=4, nrPortii=1, localDateTime=2023-01-30T13:10:58.387969900, tip=CONSUMAT}
EntitateRegistru{id=0, nrPortii=4, localDateTime=2023-01-30T13:10:58.387969900, tip=OFERIT}
EntitateRegistru{id=10, nrPortii=1, localDateTime=2023-01-30T13:10:58.387969900, tip=CONSUMAT}
EntitateRegistru{id=9, nrPortii=1, localDateTime=2023-01-30T13:10:58.387969900, tip=CONSUMAT}
EntitateRegistru{id=12, nrPortii=1, localDateTime=2023-01-30T13:10:58.387969900, tip=CONSUMAT}
EntitateRegistru{id=7, nrPortii=1, localDateTime=2023-01-30T13:10:58.387969900, tip=CONSUMAT}
EntitateRegistru{id=1, nrPortii=4, localDateTime=2023-01-30T13:10:58.387969900, tip=OFERIT}
EntitateRegistru{id=6, nrPortii=1, localDateTime=2023-01-30T13:10:58.387969900, tip=CONSUMAT}
EntitateRegistru{id=12, nrPortii=1, localDateTime=2023-01-30T13:10:58.395986200, tip=CONSUMAT}
EntitateRegistru{id=6, nrPortii=1, localDateTime=2023-01-30T13:10:58.395986200, tip=CONSUMAT}
EntitateRegistru{id=5, nrPortii=1, localDateTime=2023-01-30T13:10:58.395986200, tip=CONSUMAT}
VERIFICAT: nr portii oferite: 57 nr portii consumate: 57

EntitateRegistru{id=2, nrPortii=4, localDateTime=2023-01-30T13:10:58.327957400, tip=OFERIT}
EntitateRegistru{id=3, nrPortii=1, localDateTime=2023-01-30T13:10:58.331957700, tip=CONSUMAT}
EntitateRegistru{id=4, nrPortii=1, localDateTime=2023-01-30T13:10:58.331957700, tip=CONSUMAT}
EntitateRegistru{id=5, nrPortii=1, localDateTime=2023-01-30T13:10:58.331957700, tip=CONSUMAT}
EntitateRegistru{id=6, nrPortii=1, localDateTime=2023-01-30T13:10:58.331957700, tip=CONSUMAT}
EntitateRegistru{id=0, nrPortii=4, localDateTime=2023-01-30T13:10:58.351957800, tip=OFERIT}
EntitateRegistru{id=3, nrPortii=1, localDateTime=2023-01-30T13:10:58.352958200, tip=CONSUMAT}
EntitateRegistru{id=6, nrPortii=1, localDateTime=2023-01-30T13:10:58.352958200, tip=CONSUMAT}
EntitateRegistru{id=4, nrPortii=1, localDateTime=2023-01-30T13:10:58.352958200, tip=CONSUMAT}
EntitateRegistru{id=5, nrPortii=1, localDateTime=2023-01-30T13:10:58.352958200, tip=CONSUMAT}
EntitateRegistru{id=2, nrPortii=3, localDateTime=2023-01-30T13:10:58.352958200, tip=OFERIT}
EntitateRegistru{id=7, nrPortii=1, localDateTime=2023-01-30T13:10:58.352958200, tip=CONSUMAT}
EntitateRegistru{id=8, nrPortii=1, localDateTime=2023-01-30T13:10:58.352958200, tip=CONSUMAT}
EntitateRegistru{id=9, nrPortii=1, localDateTime=2023-01-30T13:10:58.352958200, tip=CONSUMAT}
EntitateRegistru{id=1, nrPortii=4, localDateTime=2023-01-30T13:10:58.352958200, tip=OFERIT}
EntitateRegistru{id=12, nrPortii=1, localDateTime=2023-01-30T13:10:58.352958200, tip=CONSUMAT}
EntitateRegistru{id=11, nrPortii=1, localDateTime=2023-01-30T13:10:58.352958200, tip=CONSUMAT}
EntitateRegistru{id=10, nrPortii=1, localDateTime=2023-01-30T13:10:58.352958200, tip=CONSUMAT}
EntitateRegistru{id=7, nrPortii=1, localDateTime=2023-01-30T13:10:58.361956300, tip=CONSUMAT}
EntitateRegistru{id=2, nrPortii=3, localDateTime=2023-01-30T13:10:58.361956300, tip=OFERIT}
EntitateRegistru{id=11, nrPortii=1, localDateTime=2023-01-30T13:10:58.361956300, tip=CONSUMAT}
EntitateRegistru{id=6, nrPortii=1, localDateTime=2023-01-30T13:10:58.361956300, tip=CONSUMAT}
EntitateRegistru{id=5, nrPortii=1, localDateTime=2023-01-30T13:10:58.361956300, tip=CONSUMAT}
EntitateRegistru{id=1, nrPortii=2, localDateTime=2023-01-30T13:10:58.361956300, tip=OFERIT}
EntitateRegistru{id=10, nrPortii=1, localDateTime=2023-01-30T13:10:58.361956300, tip=CONSUMAT}
EntitateRegistru{id=4, nrPortii=1, localDateTime=2023-01-30T13:10:58.361956300, tip=CONSUMAT}
EntitateRegistru{id=0, nrPortii=2, localDateTime=2023-01-30T13:10:58.361956300, tip=OFERIT}
EntitateRegistru{id=8, nrPortii=1, localDateTime=2023-01-30T13:10:58.361956300, tip=CONSUMAT}
EntitateRegistru{id=9, nrPortii=1, localDateTime=2023-01-30T13:10:58.361956300, tip=CONSUMAT}
EntitateRegistru{id=0, nrPortii=3, localDateTime=2023-01-30T13:10:58.361956300, tip=OFERIT}
EntitateRegistru{id=3, nrPortii=1, localDateTime=2023-01-30T13:10:58.361956300, tip=CONSUMAT}
EntitateRegistru{id=12, nrPortii=1, localDateTime=2023-01-30T13:10:58.361956300, tip=CONSUMAT}
EntitateRegistru{id=8, nrPortii=1, localDateTime=2023-01-30T13:10:58.370960100, tip=CONSUMAT}
EntitateRegistru{id=2, nrPortii=3, localDateTime=2023-01-30T13:10:58.370960100, tip=OFERIT}
EntitateRegistru{id=10, nrPortii=1, localDateTime=2023-01-30T13:10:58.370960100, tip=CONSUMAT}
EntitateRegistru{id=5, nrPortii=1, localDateTime=2023-01-30T13:10:58.370960100, tip=CONSUMAT}
EntitateRegistru{id=9, nrPortii=1, localDateTime=2023-01-30T13:10:58.370960100, tip=CONSUMAT}
EntitateRegistru{id=1, nrPortii=4, localDateTime=2023-01-30T13:10:58.370960100, tip=OFERIT}
EntitateRegistru{id=7, nrPortii=1, localDateTime=2023-01-30T13:10:58.370960100, tip=CONSUMAT}
EntitateRegistru{id=3, nrPortii=1, localDateTime=2023-01-30T13:10:58.370960100, tip=CONSUMAT}
EntitateRegistru{id=6, nrPortii=1, localDateTime=2023-01-30T13:10:58.370960100, tip=CONSUMAT}
EntitateRegistru{id=11, nrPortii=1, localDateTime=2023-01-30T13:10:58.370960100, tip=CONSUMAT}
EntitateRegistru{id=2, nrPortii=2, localDateTime=2023-01-30T13:10:58.370960100, tip=OFERIT}
EntitateRegistru{id=12, nrPortii=1, localDateTime=2023-01-30T13:10:58.370960100, tip=CONSUMAT}
EntitateRegistru{id=4, nrPortii=1, localDateTime=2023-01-30T13:10:58.370960100, tip=CONSUMAT}
EntitateRegistru{id=1, nrPortii=3, localDateTime=2023-01-30T13:10:58.370960100, tip=OFERIT}
EntitateRegistru{id=4, nrPortii=1, localDateTime=2023-01-30T13:10:58.379959200, tip=CONSUMAT}
EntitateRegistru{id=9, nrPortii=1, localDateTime=2023-01-30T13:10:58.379959200, tip=CONSUMAT}
EntitateRegistru{id=11, nrPortii=1, localDateTime=2023-01-30T13:10:58.379959200, tip=CONSUMAT}
EntitateRegistru{id=1, nrPortii=1, localDateTime=2023-01-30T13:10:58.379959200, tip=OFERIT}
EntitateRegistru{id=5, nrPortii=1, localDateTime=2023-01-30T13:10:58.379959200, tip=CONSUMAT}
EntitateRegistru{id=2, nrPortii=2, localDateTime=2023-01-30T13:10:58.379959200, tip=OFERIT}
EntitateRegistru{id=7, nrPortii=1, localDateTime=2023-01-30T13:10:58.379959200, tip=CONSUMAT}
EntitateRegistru{id=8, nrPortii=1, localDateTime=2023-01-30T13:10:58.379959200, tip=CONSUMAT}
EntitateRegistru{id=0, nrPortii=3, localDateTime=2023-01-30T13:10:58.379959200, tip=OFERIT}
EntitateRegistru{id=10, nrPortii=1, localDateTime=2023-01-30T13:10:58.379959200, tip=CONSUMAT}
EntitateRegistru{id=6, nrPortii=1, localDateTime=2023-01-30T13:10:58.379959200, tip=CONSUMAT}
EntitateRegistru{id=12, nrPortii=1, localDateTime=2023-01-30T13:10:58.379959200, tip=CONSUMAT}
EntitateRegistru{id=1, nrPortii=3, localDateTime=2023-01-30T13:10:58.379959200, tip=OFERIT}
EntitateRegistru{id=3, nrPortii=1, localDateTime=2023-01-30T13:10:58.379959200, tip=CONSUMAT}
EntitateRegistru{id=3, nrPortii=1, localDateTime=2023-01-30T13:10:58.387969900, tip=CONSUMAT}
EntitateRegistru{id=5, nrPortii=1, localDateTime=2023-01-30T13:10:58.387969900, tip=CONSUMAT}
EntitateRegistru{id=0, nrPortii=1, localDateTime=2023-01-30T13:10:58.387969900, tip=OFERIT}
EntitateRegistru{id=8, nrPortii=1, localDateTime=2023-01-30T13:10:58.387969900, tip=CONSUMAT}
EntitateRegistru{id=1, nrPortii=2, localDateTime=2023-01-30T13:10:58.387969900, tip=OFERIT}
EntitateRegistru{id=11, nrPortii=1, localDateTime=2023-01-30T13:10:58.387969900, tip=CONSUMAT}
EntitateRegistru{id=4, nrPortii=1, localDateTime=2023-01-30T13:10:58.387969900, tip=CONSUMAT}
EntitateRegistru{id=0, nrPortii=4, localDateTime=2023-01-30T13:10:58.387969900, tip=OFERIT}
EntitateRegistru{id=10, nrPortii=1, localDateTime=2023-01-30T13:10:58.387969900, tip=CONSUMAT}
EntitateRegistru{id=9, nrPortii=1, localDateTime=2023-01-30T13:10:58.387969900, tip=CONSUMAT}
EntitateRegistru{id=12, nrPortii=1, localDateTime=2023-01-30T13:10:58.387969900, tip=CONSUMAT}
EntitateRegistru{id=7, nrPortii=1, localDateTime=2023-01-30T13:10:58.387969900, tip=CONSUMAT}
EntitateRegistru{id=1, nrPortii=4, localDateTime=2023-01-30T13:10:58.387969900, tip=OFERIT}
EntitateRegistru{id=6, nrPortii=1, localDateTime=2023-01-30T13:10:58.387969900, tip=CONSUMAT}
